0,1,2,3,4,5
Gwangjin-gu,2023-01-10,79381,Seoul_Grand_Park,2023-04-21,7649.0
Seongdong-gu,2023-01-10,2802,Songpa-gu,2023-04-21,1862.0
Jongno-gu,2023-01-10,16141,Seodaemun-gu,2023-04-21,2571.0
Dongjak-gu,2023-01-10,158982,Jongno-gu,2023-04-21,2935.0
Gangseo-gu,2023-01-10,57589,Gangseo-gu,2023-04-22,3038.0
Gwanak-gu,2023-01-10,30897,Seocho-gu,2023-04-22,19013.0
Eunpyeong-gu,2023-01-10,5471,Gangdong-gu,2023-04-22,3385.0
Dobong-gu,2023-01-10,122900,Gangbuk-gu,2023-04-22,2054.0
Seoul_Grand_Park,2023-01-10,7522,Seodaemun-gu,2023-04-22,2397.0
Gangdong-gu,2023-01-10,105250,Eunpyeong-gu,2023-04-22,1712.0
Seocho-gu,2023-01-10,63423,Yangcheon-gu,2023-04-22,1565.0
Mapo-gu,2023-01-10,107475,Mapo-gu,2023-04-22,1422.0
Yangcheon-gu,2023-01-10,107740,Jongno-gu,2023-04-22,3218.0
Gangnam-gu,2023-01-11,123045,Songpa-gu,2023-04-22,3175.0
Songpa-gu,2023-01-11,27102,Gangnam-gu,2023-04-22,17561.0
Gangbuk-gu,2023-01-11,95120,Gwanak-gu,2023-04-22,2580.0
Jung-gu,2023-01-11,61843,Gwangjin-gu,2023-04-22,6210.0
Gwanak-gu,2023-01-11,31527,Yongsan-gu,2023-04-22,373.0
Jongno-gu,2023-01-11,16096,Seongdong-gu,2023-04-22,2722.0
Jungnang-gu,2023-01-11,45187,Seoul_Grand_Park,2023-04-22,15626.0
Yongsan-gu,2023-01-11,643,Jung-gu,2023-04-22,24485.0
Seodaemun-gu,2023-01-11,6120,Gwanak-gu,2023-04-23,2754.0
Dongjak-gu,2023-01-11,163858,Songpa-gu,2023-04-23,4087.0
Seongdong-gu,2023-01-11,2779,Gangseo-gu,2023-04-23,3431.0
Dobong-gu,2023-01-11,123240,Mapo-gu,2023-04-23,1938.0
Yangcheon-gu,2023-01-11,105755,Seodaemun-gu,2023-04-23,3913.0
Seocho-gu,2023-01-11,62883,Gangdong-gu,2023-04-23,4800.0
Eunpyeong-gu,2023-01-11,5541,Seoul_Grand_Park,2023-04-23,21948.0
Gangdong-gu,2023-01-11,104021,Jongno-gu,2023-04-23,4715.0
Geumcheon-gu,2023-01-11,109289,Yongsan-gu,2023-04-23,342.0
Gangseo-gu,2023-01-11,57983,Gwangjin-gu,2023-04-23,7059.0
Mapo-gu,2023-01-11,106344,Seocho-gu,2023-04-23,22563.0
Guro-gu,2023-01-11,132751,Gangnam-gu,2023-04-23,19489.0
Nowon-gu,2023-01-11,53126,Yangcheon-gu,2023-04-23,1804.0
Gwangjin-gu,2023-01-11,79459,Gangbuk-gu,2023-04-23,2650.0
Seoul_Grand_Park,2023-01-11,7048,Jung-gu,2023-04-23,27297.0
Jungnang-gu,2023-01-12,45744,Eunpyeong-gu,2023-04-23,2216.0
Seoul_Grand_Park,2023-01-12,8431,Seongdong-gu,2023-04-23,3963.0
Gangnam-gu,2023-01-12,121630,Gangbuk-gu,2023-04-24,3545.0
Seodaemun-gu,2023-01-12,6172,Seocho-gu,2023-04-24,32642.0
Songpa-gu,2023-01-12,26388,Gangdong-gu,2023-04-24,7123.0
Eunpyeong-gu,2023-01-12,5510,Seongdong-gu,2023-04-24,2094.0
Gwangjin-gu,2023-01-12,79038,Gwangjin-gu,2023-04-24,9729.0
Seongdong-gu,2023-01-12,3355,Jongno-gu,2023-04-24,5328.0
Dongjak-gu,2023-01-12,156232,Seoul_Grand_Park,2023-04-24,7432.0
Dobong-gu,2023-01-12,115457,Yangcheon-gu,2023-04-24,3269.0
Gangseo-gu,2023-01-12,55551,Gangnam-gu,2023-04-24,26376.0
Yangcheon-gu,2023-01-12,105422,Seodaemun-gu,2023-04-24,3872.0
Nowon-gu,2023-01-12,51036,Mapo-gu,2023-04-24,1660.0
