자치구,측정날짜,방문자수,SIG_CD
Nowon-gu,2023-01-26,22246.0,11350
Mapo-gu,2023-01-26,38419.0,11440
Gangseo-gu,2023-01-26,30866.0,11500
Yangcheon-gu,2023-01-26,44887.0,11470
Gangdong-gu,2023-01-26,48163.0,11740
Gwangjin-gu,2023-01-26,38960.0,11215
Geumcheon-gu,2023-01-27,68899.0,11545
Jung-gu,2023-01-27,66133.0,11140
Gwanak-gu,2023-01-27,23159.0,11620
Mapo-gu,2023-01-27,77258.0,11440
Seocho-gu,2023-01-27,39686.0,11650
Jungnang-gu,2023-01-27,29353.0,11260
Jongno-gu,2023-01-27,4575.0,11110
Nowon-gu,2023-01-27,35131.0,11350
Gwangjin-gu,2023-01-27,60993.0,11215
Guro-gu,2023-01-27,87266.0,11530
Gangseo-gu,2023-01-27,43363.0,11500
