자치구,측정날짜,방문자수
Seodaemun-gu,2023-05-20,3447
Jongno-gu,2023-05-20,5429
Eunpyeong-gu,2023-05-20,2457
Yangcheon-gu,2023-05-20,2393
Gangseo-gu,2023-05-20,5191
Yongsan-gu,2023-05-20,74
Songpa-gu,2023-05-20,621
Seongdong-gu,2023-05-20,4920
Gwanak-gu,2023-05-20,2831
Seocho-gu,2023-05-20,29554
Jung-gu,2023-05-20,31479
Seoul_Grand_Park,2023-05-20,22468
Mapo-gu,2023-05-20,2132
Gangdong-gu,2023-05-20,5222
Gwangjin-gu,2023-05-20,8218
Gangbuk-gu,2023-05-20,2662
Gangnam-gu,2023-05-20,23995
Seoul_Grand_Park,2023-05-21,18408
Seongdong-gu,2023-05-21,3090
Yangcheon-gu,2023-05-21,1841
Seocho-gu,2023-05-21,20141
Gangseo-gu,2023-05-21,3964
Gwanak-gu,2023-05-21,2316
Seodaemun-gu,2023-05-21,2622
Jung-gu,2023-05-21,26927
Gangbuk-gu,2023-05-21,2401
Eunpyeong-gu,2023-05-21,1955
Gwangjin-gu,2023-05-21,6216
Songpa-gu,2023-05-21,929
Gangnam-gu,2023-05-21,17112
Gangdong-gu,2023-05-21,4742
Yongsan-gu,2023-05-21,298
